no,w1,w2,w3,t1,t2,t3,s1,s1b_1,s1b_2,s1b_3,s1b_4,s1b_5,s1b_6,s1b_7,s1b_8,s1b_9,s2,s2a_1,s2a_2,s2a_3,s2a_4,s2a_5,s2a_6,s2a_7,s2a_8,s2a_9,s2a_10,s2a_11,s2a_12,s2a_13,s2b,s2bb_1,s2bb_2,s2bb_3,s2bb_4,s2bb_5,s2bb_6,s2bb_7,s2bb_8,s2bb_9,s2bb_10,s2bb_11,s3,s3a,s4,s4b_1,s4b_2,s4b_3,s4b_4,s4b_5,s4b_6,s4b_7,s4b_8,s4b_9,s4b_10,s4b_11,s4b_12,s5,s5a,s5b,s5c_1,s5c_2,s5c_3,s5c_4,s5c_5,s5c_6,s5c_7,s5c_8,s5d,s6,s6a_2_1,s6a_3_1,s6a_4_1,s6a_5_1,s6b,s6s6b,s7a_1_0,s7a_1_1,s7a_2_1,s7a_3_1,s7c,s7b_1_1,s7b_2_1,s7b_1_0,n8,n8a0,n8a,n8b0,n8b,n8c0,n8c,n9,n9a,n10,n11,n11a1,n11b1,n11a2,n11b2,n11a3,n11b3,n12_1,n12_2,n12_3,n12_4,n12_5,n12_6,n13,n14,n14b_1,n14b_2,n14b_3,n14b_4,n15,n15b_1,n15b_2,n15b_3,n15b_4,n15b_5,n15b_6,n15b_7,n16,n16a,n16b_1,n16b_2,n16b_3,n16b_4,n16b_5,n17a_1,n17a_2,n17b_1,n17b_2,n17c_1,n17c_2,n17d_1,n17d_2,n17e_1,n17e_2,n17f_1,n17f_2,n17g_1,n17g_2,n17h_1,n17h_2,n18a,n18b,n18c,n18d,n18e,n18f,n19,n19a,n20_1,n20_2,n20_3,n21,n21a_1,n21a_2,n21a_3,n21a_4,n21a_5,n21a_6,n21a_7,n21a_8,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8
A0810058,7.91244239631336,8.5349593495935,42.6747967479675,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,5,5,0,0,0,11,16,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A0810060,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,2,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,1,1,0,0,0,0,0,0,1,2,1, , , , , , , , , ,3,3,0,0,0,18,21,26800,23800,3000,0,9,168,20,188,2,2,2,2,3,1, ,1, ,1,1,2,1500, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,2,2,3,3,3,2,2, ,1,0,0,2,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0
A0810062,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,11,12,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,2,1500, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, ,0,0,1,2,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0
A0810064,7.91244239631336,8.5349593495935,51.209756097561,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1, , , , , , , , , ,6,6,0,0,0,20,26,23800,23800,0,0,10,160,0,160,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2, ,1,1,0,2,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0
A0810065,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,1,0,0,0,0,0,1,0,0,2, , , , , , , , , , , ,4,0,4,0,0,23,27,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,1, ,1,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2, ,1,1,0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0
A0810067,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,8,10,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,1, ,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
A0810069,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,5,6,27890,23800,3090,1000,9,168,21,189,2,1, ,2,5,1, ,1, ,1,1,1, , , , , ,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
A0810072,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,2, , , , , , , , , , , ,1,0,1,0,0,6,7,32380,26880,5500,0,9,168,32,200,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A0810073,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1, , , , , , , , , ,3,3,0,0,0,12,15,28082,23800,4282,0,9,168,29,197,2,2,4,2,3,2,3,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,1,0,2,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
A0810075,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,3,0,3,0,0,6,9,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,2, , ,1, , , ,1,0,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,1,0,0,2,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
A0810076,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1, , , , , , , , , ,3,3,0,0,0,15,18,25495,23800,1695,0,9,168,11.5,179.5,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
A0810078,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,2,3,23800,23800,0,0,10,160,0,160,2,1, ,2,4,1, ,2,2,2,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2, ,1,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
A0810080,7.91244239631336,8.5349593495935,42.6747967479675,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,5,2,3,0,0,18,23,28037,23800,2607,1630,9,168,18.5,186.5,2,2,2,2,7,1, ,2,1,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2,2,3,3,2,2,1,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
A0810081,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,4,4,0,0,0,13,17,28082,23800,4282,0,9,168,29,197,1,1, ,1, ,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,2,3,3,3,3,3,1,1,1,1,0,2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0
A0810083,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,6,8,23800,23800,0,0,9,168,0,168,2,2,7,2,2,1, ,1, ,1,1,2,2000, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,3,3,4,3,3,2, ,0,0,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
A0810084,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,3,3,0,0,0,9,12,26753,23800,2953,0,9,168,20,188,2,1, ,2,2,1, ,2,1,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A0810085,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,18,20,34500,24200,6800,3500,9,168,42,210,2,1, ,2,7,2,3,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, ,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
A0810086,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,2,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2, , , , , , , , , , , ,2,2,0,0,0,6,8,27800,24800,3000,0,9,168,20,188,2,2,3,2,5,1, ,1, ,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,5,2,2,2, ,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
A0810089,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0, ,4,4,0,0,0,20,24,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
A0810090,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,1,1,0,0,0,0,0,1,3,1, , , , , , , , , ,3,3,0,0,0,16,19,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
A0810091,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,4,5,27300,24800,0,2500,9,168,0,168,2,2,3,2,2,2,3,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,2,2,2,3,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
A0810093,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,4,4,0,0,0,18,22,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
A0810094,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,0,2,0,0,11,13,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,2,1,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
A0810095,7.91244239631336,8.5349593495935,51.209756097561,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,6,6,0,0,0,18,24,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,2,1850, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,3,2,2,1,1,1,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
A0810097,7.91244239631336,8.5349593495935,42.6747967479675,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,5,5,0,0,0,18,23,27577,23800,3777,0,9,168,26,194,2,1, ,2,3,1, ,1, ,1,1,1, , , , , ,0,0,1,0,0,0,3,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
A0810098,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2, , , , , , , , , , ,1,2,2,0,0,0,23,25,30296,23800,6496,0,9,168,44,212,2,2,3,2,1,1, ,2,2,1,1,1, , , , , ,0,1,0,0,0,0,2,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,1,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
A0810099,7.91244239631336,8.5349593495935,42.6747967479675,1,8,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,5,5,0,0,0,19,24,23948,23800,148,0,8,176,1,177,2,2,4,2,6,2,3,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,2,2,2,2,1,2,1,2,0,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
A0810100,7.91244239631336,8.5349593495935,51.209756097561,1,8,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,6,6,0,0,0,22,28,29300,25000,4300,0,9,168,30.5,198.5,2,1, ,2,7,1, ,2,1,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,2,2,2,2,2,2,2, ,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
A0810101,7.91244239631336,8.5349593495935,68.279674796748,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1, , , , , , , , , ,8,8,0,0,0,18,26,25910,23800,2110,0,9,168,16,184,1,1, ,1, ,1, ,1, ,1,2, , ,2,1000, , ,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,0,0,1,2,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
A0810102,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,4,5,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,3,2,4,3,2,2, ,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
A0810103,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,2,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,24,27,30300,23800,5500,1000,9,168,40,208,2,1, ,2,4,2,2,1, ,1,1,2,1210, , , , ,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,2,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,3,3,3,4,4,3,2, ,0,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
A0810105,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,1,0,0,1,0,0,2, , , , , , , , , , , ,3,0,3,0,0,23,26,28082,23800,4282,0,9,168,29,197,1,1, ,1, ,1, ,2,1,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2, ,1,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
A0810106,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,9,12,23800,23800,0,0,9,168,0,168,2,2,3,2,3,1, ,1, ,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,2,2,2,1,1,2, ,0,0,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
A0810107,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,1,0,0,0,0,0,0,2, , , , , , , , , , , ,2,0,0,2,0,15,17,24300,23800,0,500,10,160,0,160,2,1, ,2,2,1, ,2,1,1,1,2,2000, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,3,3,3,3,3,3,2, ,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
A0810109,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0, ,4,0,4,0,0,21,25,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,2,1,1,1,1, , , , , ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
A0810111,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,5,6,28082,23800,4282,0,9,168,29,197,2,2,3,2,3,1, ,1, ,2,4, , , , , , ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
